,area,endereco,quartos,banheiros,vagas,preco,condominio,amenidades,cidade,data_scraping
0,180,"Rua Senador Euzebio, 6 - Flamengo, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,1 Vaga,R$ 3.750 /mês,R$ 1.650,"Aceita animais
Ar-condicionado
Espaço gourmet
Elevador
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
1,105,"Rua São Clemente, 117 - Botafogo, Rio de Janeiro - RJ",3 Quartos,3 Banheiros,2 Vagas,R$ 3.500 /mês,R$ 2.480,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",Rio de Janeiro,"September 20, 2021 16:22"
2,80,"Rua Pereira da Silva, 444 - Laranjeiras, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,-- Vaga,R$ 2.000 /mês,R$ 762,"Playground
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
3,58,"Rua Carvalho Alvim, 654 - Tijuca, Rio de Janeiro - RJ",2 Quartos,3 Banheiros,1 Vaga,R$ 1.800 /mês,R$ 912,"Churrasqueira
Piscina
Playground
Salão de festas
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
4,70,"Rua Tirol, 962 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,1 Vaga,R$ 1.400 /mês,R$ 900,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",Rio de Janeiro,"September 20, 2021 16:22"
5,62,"Rua Paissandu, 179 - Flamengo, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,-- Vaga,R$ 2.000 /mês,R$ 864,"Elevador
Aceita animais
Jardim
Playground
Salão de festas
...",Rio de Janeiro,"September 20, 2021 16:22"
6,40,"Avenida Nossa Senhora de Copacabana, 1004 - Copacabana, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.499 /mês,R$ 400,"Ar-condicionado
Cozinha americana
Mobiliado
Elevador
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
7,50,"Rua Assis Bueno, 46 - Botafogo, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 1.950 /mês,R$ 974,"Piscina
Elevador
Academia
Aceita animais
Bicicletário
...",Rio de Janeiro,"September 20, 2021 16:22"
8,114,"Rua Engenheiro Cortes Sigaud, 191 - Leblon, Rio de Janeiro - RJ",3 Quartos,3 Banheiros,1 Vaga,R$ 5.600 /mês,R$ 2.080,"Elevador
Aceita animais
Ar-condicionado
Salão de festas
Closet
...",Rio de Janeiro,"September 20, 2021 16:22"
9,36,"Rua do Bispo, 265 - Tijuca, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.000 /mês,R$ 540,"Aceita animais
Elevador
Portão eletrônico
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
10,64,"Rua Sorocaba, 231 - Botafogo, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 3.100 /mês,R$ 800,"Piscina
Churrasqueira
Academia
Aceita animais
Espaço gourmet
...",Rio de Janeiro,"September 20, 2021 16:22"
11,32,"Estrada do Rio Grande, 407 - Taquara, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,1 Vaga,R$ 790 /mês,,"Aceita animais
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
12,50,"Rua Visconde de Pirajá, 571 - Ipanema, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.850 /mês,R$ 613,"Ar-condicionado
Aceita animais
Elevador
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
13,70,"Rua Tomás Lopes, 739 - Penha Circular, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,-- Vaga,R$ 1.000 /mês,R$ 303,"Aceita animais
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
14,80,"Avenida General San Martin, 900 - Leblon, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 3.500 /mês,R$ 1.445,"Elevador
Aceita animais
Ar-condicionado
Portaria 24h
Acesso para deficientes
...",Rio de Janeiro,"September 20, 2021 16:22"
