,area,endereco,quartos,banheiros,vagas,preco,condominio,amenidades,bairro
36,170,"Rua Cayowaá, 425 ",4,5,3,9500.0,2200.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...", Perdizes
37,65,"Rua Caiubi, 1322 ",3,2,1,2800.0,800.0,"Salão de festas
Piscina
Bicicletário
Elevador
Portão eletrônico", Perdizes
38,70,"Rua Álvaro de Carvalho, 134 ",2,2,1,2100.0,780.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Centro
39,56,"Rua Jaraguá, 737 ",2,2,1,2400.0,430.0,"Piscina
Elevador
Condomínio fechado
Varanda
Academia
...", Bom Retiro
40,65,"Rua Piracuama, 417 ",2,1,2,1700.0,800.0,"Piscina
Elevador
Aceita animais
Jardim
Salão de festas
...", Perdizes
41,46,"Avenida Jandira, 268 ",1,1,1,3400.0,600.0,"Piscina
Churrasqueira
Condomínio fechado
Academia
Aceita animais
...", Moema
42,60,Rua Joseph Nigri ,2,2,1,3700.0,800.0,"Piscina
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...", Jardim das Perdizes
43,240,"Rua Verbo Divino, 1061 ",5,5,4,15000.0,3300.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Chácara Santo Antônio
44,57,"Rua Domingos Paiva, 152 ",2,2,1,2800.0,597.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Brás
45,92,"Rua Marquês de Valença, 369 ",3,3,2,3200.0,815.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...", Alto da Mooca
46,205,"Rua Tabapuã, 245 ",3,4,2,7900.0,2380.0,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...", Itaim Bibi
47,56,Rua Joaquim Távora ,2,2,1,2900.0,630.0,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...", Vila Mariana
48,45,"Alameda Jauaperi, 1123 ",1,1,1,2800.0,612.0,"Elevador
Condomínio fechado
Aceita animais
Jardim
Bicicletário
...", Moema
49,40,"Rua Padre Carvalho, 348 ",1,1,1,4500.0,950.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...", Pinheiros
50,64,Rua Marquês de Lages ,2,2,1,2300.0,650.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Vila Moraes
51,57,"Rua Gravataí, 118 ",2,2,1,3000.0,767.0,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...", Consolação
52,95,"Rua Cayowaá, 1366 ",2,2,1,2800.0,839.0,"Elevador
Aceita animais
Jardim
Salão de festas
Bicicletário
...", Perdizes
53,39,"Rua José Getúlio, 109 ",1,1,1,2800.0,470.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Liberdade
54,65,"Rua Rui de Morais Apocalipse, 326 ",2,1,1,1200.0,300.0,"Churrasqueira
Condomínio fechado
Academia
Aceita animais
Jardim
...", Jardim Do Tiro
55,80,"Rua General Chagas Santos, 197 ",2,2,1,1880.0,950.0,"Churrasqueira
Elevador
Academia
Aceita animais
Jardim
...", Saúde
56,79,"Rua Fortunato Ferraz, 210 ",2,2,2,4800.0,670.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...", Vila Anastácio
57,49,"Rua Gabriele D'Annunzio, 624 ",1,1,1,3600.0,657.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Campo Belo
58,96,"Rua Jorge Americano, 310 ",3,3,2,4000.0,1065.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Aceita animais
...", Alto da Lapa
59,48,"Rua Baronesa de Bela Vista, 577 ",1,1,1,1700.0,392.0,"Aceita animais
Salão de festas
Elevador
Portaria 24h", Vila Congonhas
60,66,"Rua Alfredo Pujol, 451 ",1,2,1,3700.0,800.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...", Santana
61,38,"Rua Marselhesa, 29 ",1,1,1,2900.0,640.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...", Vila Mariana
62,59,"Rua Luís Cunha, 285 ",2,1,2,1350.0,596.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Vila Pirituba
63,100,"Avenida dos Imarés, 557 ",2,3,2,3950.0,1200.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...", Indianópolis
64,208,"Rua Professor Alexandre Correia, 169 ",4,3,4,2800.0,3200.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Jardim Vitoria Regia
65,20,"Rua Pereira do Lago, 309 ",1,1,0,890.0,0.0,"Mobiliado
Condomínio fechado", Vila Gomes
66,50,"Rua da Consolação, 1131 ",2,1,1,1950.0,650.0,"Elevador
Bicicletário
Portaria 24h
Portão eletrônico
Condomínio fechado", Consolação
67,70,"Avenida Marechal Mário Guedes, 02 ",2,2,2,2300.0,700.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Jaguaré
68,100,"Rua Alonso Calhamares, 244 ",3,3,2,6390.0,1040.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Jardim Anália Franco
69,37,"Rua Vilela, 1042 ",1,1,1,1750.0,528.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...", Tatuapé
70,52,"Rua George Ohm, 330 ",1,2,1,3500.0,457.0,"Piscina
Churrasqueira
Academia
Espaço gourmet
Ar-condicionado
...", Cidade Monções
71,110,Rua Cristiano Viana ,3,3,0,3300.0,1530.0,"Cozinha americana
Portaria 24h", Cerqueira César
72,111,"Rua Cônego Eugênio Leite, 574 ",3,3,1,3650.0,1699.0,"Aceita animais
Closet
Bicicletário
Portaria 24h", Cerqueira César
73,59,"Rua Farid Miguel Haddad, 235 ",2,1,1,1300.0,0.0,"Piscina
Churrasqueira
Condomínio fechado
Aceita animais
Playground
...", Vila Santa Teresa
74,40,"Alameda Franca, 318 ",1,1,1,1800.0,934.0,"Elevador
Condomínio fechado
Aceita animais
Jardim
Portaria 24h
...", Jardim Paulista
75,60,Rua Paris ,2,2,2,4150.0,850.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Sumaré
76,100,"Rua Professor Vahia de Abreu, 383 ",3,3,2,6500.0,1020.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Vila Olímpia
77,105,"Rua Chamantá, 219 ",3,2,1,2900.0,500.0,Aceita animais, Parque da Mooca
78,64,"Rua Correia de Lemos, 645 ",2,2,1,2100.0,730.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Chácara Inglesa
79,32,"Rua Coronel Luís Barroso, 392 ",1,1,1,2000.0,670.0,"Mobiliado
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Santo Amaro
80,48,Rua Cardoso de Almeida ,1,1,0,3200.0,477.0,"Aceita animais
Ar-condicionado
Cozinha americana
Mobiliado
Elevador", Perdizes
81,37,"Rua Major Sertório, 321 ",1,1,1,2000.0,380.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Centro
82,70,"Rua Vupabussu, 219 ",1,1,2,5100.0,1774.0,"Piscina
Elevador
Condomínio fechado
Academia
Espaço gourmet
...", Pinheiros
83,50,"Rua Conselheiro Brotero, 867 ",1,1,0,1400.0,760.0,"Elevador
Aceita animais
Jardim
Portaria 24h
Cozinha americana
...", Santa Cecília
84,111,"Rua Pamplona, 237 ",3,2,2,4750.0,1015.0,"Churrasqueira
Elevador
Academia
Aceita animais
Jardim
...", Jardim Paulista
85,90,"Avenida Santo Amaro, 345 ",2,2,0,1350.0,230.0,Aceita animais, Vila Nova Conceição
86,48,"Rua Joaquim Ferreira, 124 ",1,1,1,2400.0,623.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Água Branca
87,72,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 ",3,1,1,1500.0,618.0,"Churrasqueira
Elevador
Condomínio fechado
Aceita animais
Jardim
...", Butantã
88,26,"Rua Engenheiro Bianor, 137 ",1,1,0,2500.0,350.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Butantã
89,80,"Rua Henrique Sertório, 34 ",2,1,0,1390.0,280.0,0, Tatuapé
90,45,"Rua Cardeal Arcoverde, 448 ",1,1,0,1900.0,300.0,"Aceita animais
Portão eletrônico", Pinheiros
91,130,Rua do Paraíso ,3,2,1,2225.0,605.0,"Elevador
Condomínio fechado
Aceita animais
Jardim
Área de serviço
...", Vila Mariana
92,70,"Rua Joaquim Guarani, 485 ",1,2,1,4000.0,650.0,"Piscina
Mobiliado
Churrasqueira
Condomínio fechado
Academia
...", Jardim das Acacias
